Date,Store,Avg_Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size,DateIndex
2010-02-05,1,22516.313698630136,42.31,2.572,,,,,,211.0963582,8.106,False,A,151315,2010-02-05
2010-02-05,2,29273.82821917808,40.19,2.572,,,,,,210.7526053,8.324,False,A,202307,2010-02-05
2010-02-05,3,7101.880307692307,45.71,2.572,,,,,,214.4248812,7.368,False,B,37392,2010-02-05
2010-02-05,4,29248.546164383562,43.76,2.598,,,,,,126.4420645,8.623,False,A,205863,2010-02-05
2010-02-05,5,5115.695161290321,39.7,2.572,,,,,,211.6539716,6.566,False,B,34875,2010-02-05
2010-02-05,6,22638.836986301372,40.43,2.572,,,,,,212.6223518,7.259,False,A,202505,2010-02-05
2010-02-05,7,6898.964444444445,10.53,2.58,,,,,,189.3816974,9.014,False,B,70713,2010-02-05
2010-02-05,8,14552.711449275355,34.14,2.572,,,,,,214.4714512,6.299,False,A,155078,2010-02-05
2010-02-05,9,8862.992741935483,38.01,2.572,,,,,,214.6554591,6.415,False,B,125833,2010-02-05
2010-02-05,10,29240.649999999987,54.34,2.962,,,,,,126.4420645,9.765,False,B,126512,2010-02-05
2010-02-05,11,21222.34222222223,46.04,2.572,,,,,,214.4248812,7.368,False,A,207499,2010-02-05
2010-02-05,12,15714.948142857142,49.47,2.962,,,,,,126.4420645,13.975,False,B,112238,2010-02-05
2010-02-05,13,26229.60706666666,31.53,2.666,,,,,,126.4420645,8.316,False,A,219622,2010-02-05
2010-02-05,14,36950.28098591551,27.31,2.784,,,,,,181.8711898,8.992,False,A,200898,2010-02-05
2010-02-05,15,9451.049855072464,19.83,2.954,,,,,,131.5279032,8.35,False,B,123737,2010-02-05
2010-02-05,16,7344.7584615384585,19.79,2.58,,,,,,189.3816974,7.039,False,B,57197,2010-02-05
2010-02-05,17,11271.943142857142,23.11,2.666,,,,,,126.4420645,6.548,False,B,93188,2010-02-05
2010-02-05,18,17989.66417910448,21.33,2.788,,,,,,131.5279032,9.202,False,B,120653,2010-02-05
2010-02-05,19,20939.405138888884,20.96,2.954,,,,,,131.5279032,8.35,False,A,203819,2010-02-05
2010-02-05,20,32895.82835616438,25.92,2.784,,,,,,204.2471935,8.187,False,A,203742,2010-02-05
2010-02-05,21,12099.90727272727,39.05,2.572,,,,,,210.7526053,8.324,False,B,140167,2010-02-05
2010-02-05,22,15418.169701492536,24.36,2.788,,,,,,135.3524608,8.283,False,B,119557,2010-02-05
2010-02-05,23,18954.466388888886,15.25,2.788,,,,,,131.5279032,5.892,False,B,114533,2010-02-05
2010-02-05,24,19287.855972222227,22.43,2.954,,,,,,131.5279032,8.326,False,A,203819,2010-02-05
2010-02-05,25,10107.934776119402,21.1,2.784,,,,,,204.2471935,8.187,False,B,128107,2010-02-05
2010-02-05,26,14987.234927536228,9.55,2.788,,,,,,131.5279032,8.488,False,A,152513,2010-02-05
2010-02-05,27,26775.568428571423,27.19,2.954,,,,,,135.3524608,8.237,False,A,204184,2010-02-05
2010-02-05,28,23227.115138888894,49.47,2.962,,,,,,126.4420645,13.975,False,A,206302,2010-02-05
2010-02-05,29,8161.12818181818,24.36,2.788,,,,,,131.5279032,10.064,False,B,93638,2010-02-05
2010-02-05,30,8944.394615384617,39.05,2.572,,,,,,210.7526053,8.324,False,C,42988,2010-02-05
2010-02-05,31,20126.740410958904,39.05,2.572,,,,,,210.7526053,8.324,False,A,203750,2010-02-05
2010-02-05,32,15105.78041666666,34.43,2.58,,,,,,189.3816974,9.014,False,A,203007,2010-02-05
2010-02-05,33,6864.83575,58.4,2.962,,,,,,126.4420645,10.115,False,A,39690,2010-02-05
2010-02-05,34,12922.012972972974,35.44,2.598,,,,,,126.4420645,9.521,False,A,158114,2010-02-05
2010-02-05,35,18367.365671641786,27.19,2.784,,,,,,135.3524608,9.262,False,B,103681,2010-02-05
2010-02-05,36,12303.861578947368,45.97,2.545,,,,,,209.8529663,8.554,False,A,39910,2010-02-05
2010-02-05,37,10938.91285714286,45.97,2.572,,,,,,209.8529663,8.554,False,C,39910,2010-02-05
2010-02-05,38,7029.336078431372,49.47,2.962,,,,,,126.4420645,13.975,False,C,39690,2010-02-05
2010-02-05,39,18097.011764705887,44.3,2.572,,,,,,209.8529663,8.554,False,A,184109,2010-02-05
